question,questionduration
5,326.63628
9,98.70952
10,98.81757
12,200.95925
13,97.3001
14,165.87717
15,161.74798
16,189.6259
17,28.76789
19,15.83557
20,38.47903
22,38.48396
51,21.8044
52,23.53732
61,64.08574
76,405.2234
77,10.20545
78,11.90029
79,90.03827
84,403.96993
102,403.46777
103,403.61818
126,70.23285
127,252.71903
128,383.77106
129,347.33431
130,487.17134
131,126.16724
143,259.0406
144,365.73587
145,360.8467
153,257.06734
154,361.60396
155,54.36125
157,73.4018
160,161.47366
168,132.51207
169,217.7286
172,348.19152
173,348.36926
179,347.76675
183,340.9074
185,190.12226
186,30.39059
187,26.90201
188,420.94024
189,342.83156
190,342.58689
191,304.82427
192,320.82342
193,339.81991
194,305.01491
195,341.08302
196,256.71247
199,363.05587
202,180.15618
203,97.20031
204,319.58412
205,323.86483
206,215.39906
207,361.60445
213,324.48269
214,306.24436
215,306.74936
218,18.06951
219,36.92816
220,333.8457
221,32.07937
222,31.94955
224,330.48301
226,335.80366
229,327.61447
231,320.4043
232,249.5197
233,19.6639
234,2.91342
235,4.40923
236,17.66144
237,43.10482
238,34.34014
239,48.01878
240,45.00861
241,27.93537
242,13.88851
243,48.87666
244,49.74791
245,41.2141
246,21.12636
247,26.86573
248,21.12322
249,27.96148
250,8.92725
251,38.15966
252,23.04331
255,271.02265
256,210.84021
258,16.06165
259,25.12384
260,24.38662
261,11.66678
262,20.25163
263,31.04421
264,23.92204
265,23.98968
266,27.99399
267,51.4697
268,22.84756
269,30.96068
271,11.16748
272,27.10603
273,10.05558
274,28.18321
275,8.09843
276,23.98989
277,35.00742
278,28.16407
279,30.80295
280,28.15641
281,34.04116
288,23.06535
289,33.86392
290,307.89702
291,306.75302
292,306.79947
293,306.23452
294,306.19643
295,307.63191
296,314.61696
297,302.44176
298,314.60819
299,307.018
300,306.82313
301,314.61739
303,18.12232
304,18.16127
305,18.12293
306,18.1144
323,196.62132
324,64.86729
326,304.69679
328,351.68788
331,134.99012
338,395.87694
339,30.0107
341,385.01593
343,364.72354
345,298.3038
346,265.55353
347,299.28891
352,257.62823
354,201.79192
355,320.20036
357,294.63904
358,321.25213
359,323.45698
360,362.76513
361,267.70164
372,274.2239
373,142.88419
374,261.83544
375,387.0099
376,310.40601
385,190.97521
386,290.22546
389,185.73086
390,24.8333
391,13.38641
394,21.41972
395,48.31421
396,70.27827
398,192.66999
401,186.47778
403,304.11454
404,328.64497
405,255.73054
407,190.64467
408,95.74362
410,252.92825
416,287.03139
417,279.84586
418,277.76554
419,281.70877
420,339.83088
422,295.74057
423,108.64402
425,227.10774
426,270.66862
428,270.97201
429,24.63471
434,95.35251
437,232.00325
438,227.11786
444,67.45956
445,294.96117
447,265.6641
451,261.47499
452,319.79061
454,310.88477
457,118.73493
458,118.75038
459,279.84082
460,127.98806
462,127.57971
464,69.02783
465,191.02279
468,271.70449
469,276.68144
470,118.74081
471,118.03646
472,117.9949
473,117.98754
474,117.95615
475,117.96089
476,117.96286
477,117.9611
478,117.97694
479,117.97656
480,117.95772
481,117.95618
482,117.95948
485,115.83761
486,115.85266
487,115.83775
488,115.84376
489,115.81849
490,115.61693
491,115.60552
492,113.51274
493,113.50971
494,113.50127
495,113.51047
497,112.71296
498,112.70934
499,112.71243
500,112.67984
501,112.67982
502,112.69478
503,112.67489
504,112.68039
505,112.69147
507,179.32802
509,111.2574
511,220.13856
512,112.14604
513,112.14738
514,112.15681
515,112.12983
516,112.12152
517,112.13194
518,112.1433
519,112.12822
520,112.1334
521,112.14273
522,112.13409
523,112.10363
524,112.10793
525,112.13006
526,112.10399
527,112.11179
528,112.11848
536,41.74675
551,399.6231
552,339.91329
559,275.72375
560,275.72589
563,60.87055
569,20.2032
570,20.20654
571,20.20665
572,20.1964
573,20.20681
574,20.20696
575,20.20054
578,7.00268
580,244.09859
583,250.96156
584,322.72452
585,91.06188
588,251.80574
590,35.79908
591,20.20709
592,20.20573
593,35.78707
594,20.20724
595,20.19783
596,35.77558
597,20.19336
598,35.77678
599,20.20734
600,20.20747
601,20.19888
602,20.20756
603,20.19978
604,20.20493
605,20.2077
606,20.2078
610,27.80695
611,20.96256
615,33.13193
624,255.96753
625,247.82113
628,244.90648
630,15.19452
633,385.94915
635,240.88209
642,8.78019
643,42.38858
648,29.01021
649,178.14266
656,199.2771
658,60.91271
659,191.26698
667,30.1212
669,133.37875
670,216.22964
671,9.46289
672,27.92545
674,122.42715
677,33.29432
679,214.23686
685,60.74622
687,118.44594
690,182.47186
691,182.47359
692,182.47297
693,216.65157
698,15.11585
699,15.06547
700,20.85908
702,215.75082
704,207.11296
705,207.11308
707,24.70964
710,203.10726
715,196.08662
716,114.93653
718,222.12229
719,222.14102
733,194.07573
737,97.74916
738,39.16971
739,35.86497
741,339.09524
748,218.25951
750,11.88471
764,66.46611
765,69.79111
766,62.75371
778,164.8065
780,3.88775
781,112.0647
782,125.96147
783,125.96045
784,3.88763
786,167.09589
789,135.89453
790,125.20945
791,167.13855
801,166.61089
803,186.07866
814,18.84621
815,36.9807
818,189.45345
819,189.48148
838,237.24761
839,237.2908
842,243.19672
853,103.93976
854,44.62824
855,32.21954
856,132.0993
861,265.34792
867,130.20428
875,187.31863
876,121.6856
877,186.07881
878,187.31974
880,228.08557
894,96.15164
897,85.88283
898,85.86913
899,85.8261
922,72.83977
923,72.8376
928,225.91437
934,121.80886
937,91.19864
939,58.84549
941,63.01191
944,219.00894
945,4.91766
950,4.91633
951,219.00732
955,4.91767
956,156.35899
960,4.91798
961,219.00692
965,4.91768
966,219.00663
970,4.91771
971,241.85147
975,218.84442
976,4.91768
980,4.91804
981,218.84332
985,4.91768
986,218.84347
990,4.91917
991,218.84391
1022,82.16302
1023,89.01228
1026,166.6708
1029,166.17827
1030,120.9404
1031,172.08099
1032,165.2113
1034,172.55497
1036,172.20066
1037,158.3499
1038,130.15505
1039,168.2662
1040,158.17946
1041,67.08273
1042,81.15096
1043,165.08484
1044,157.13664
1047,147.78369
1051,151.86499
1052,132.68315
1054,89.86847
1055,151.90026
1056,158.97109
1058,80.87225
1060,124.44996
1061,132.79313
1063,52.86675
1064,129.13654
1065,142.9721
1068,130.00962
1073,130.00059
1075,136.97022
1079,4.94534
1083,28.49911
1085,117.19213
1086,84.16955
1087,117.15481
1088,47.07963
1090,38.96058
1091,117.19591
1092,128.84399
1093,93.74768
1094,94.1453
1095,124.13952
1096,104.91171
1097,117.12332
1098,26.08184
1099,94.88784
1100,103.44198
1101,116.11201
1102,24.2138
1103,110.41859
1104,96.91118
1105,5.83783
1106,113.64046
1108,43.41083
1109,102.93321
1110,95.96553
1111,105.8204
1113,112.78039
1115,64.74917
1116,103.4414
1117,87.36377
1118,100.86174
1119,110.41428
1124,128.95162
1126,85.11442
1127,86.85515
1128,86.85289
1129,60.12508
1130,75.7064
1131,36.4962
1132,36.49606
1133,86.86262
1136,86.85966
1137,93.8256
1139,92.07838
1140,32.05707
1141,76.42312
1142,68.20912
1143,85.01977
1151,75.27282
1155,74.93662
1156,79.67514
1157,78.24578
1159,73.10183
1160,12.12593
1161,83.12488
1162,68.58622
1163,79.69316
1164,104.49104
1167,70.32032
1171,130.01645
1211,4.25181
1212,4.25175
1217,4.25053
1218,4.25183
1232,17.16721
1266,5.80582
1297,3.2721
1303,32.87158
1327,39.88591
1332,39.41494
1333,39.4167
1334,37.6918
1337,38.6234
1339,38.66601
1340,26.9133
1341,37.49404
1344,35.78987
1345,33.82691
1346,35.74445
1347,35.74217
1349,36.70458
1351,35.77764
1352,35.79545
1354,17.91748
1355,27.87222
1356,27.87607
1357,27.88737
